Gene name,Gene stable ID version,Human gene stable ID,Human gene name
Zfp687,ENSMUSG00000019338.13,ENSG00000143373,ZNF687
Gpat3,ENSMUSG00000029314.14,ENSG00000138678,GPAT3
Arhgap29,ENSMUSG00000039831.16,ENSG00000137962,ARHGAP29
Pkp1,ENSMUSG00000026413.12,ENSG00000081277,PKP1
Stat1,ENSMUSG00000026104.14,ENSG00000115415,STAT1
Tgoln1,ENSMUSG00000056429.4,ENSG00000152291,TGOLN2
Dnajb2,ENSMUSG00000026203.16,ENSG00000135924,DNAJB2
Pphln1,ENSMUSG00000036167.16,ENSG00000134283,PPHLN1
Cenpj,ENSMUSG00000064128.8,ENSG00000151849,CENPJ
Eif4e,ENSMUSG00000028156.12,ENSG00000151247,EIF4E
Retsat,ENSMUSG00000056666.13,ENSG00000042445,RETSAT
Pi4kb,ENSMUSG00000038861.14,ENSG00000143393,PI4KB
Lrrc63,ENSMUSG00000021997.4,ENSG00000173988,LRRC63
Col25a1,ENSMUSG00000058897.18,ENSG00000188517,COL25A1
Pla2g12b,ENSMUSG00000009646.13,ENSG00000138308,PLA2G12B
Rhoa,ENSMUSG00000007815.13,ENSG00000067560,RHOA
Kcnk5,ENSMUSG00000023243.9,ENSG00000164626,KCNK5
Fpgt,ENSMUSG00000053870.7,ENSG00000254685,FPGT
Gm45837,ENSMUSG00000030653.17,ENSG00000186642,PDE2A
Dctn6,ENSMUSG00000031516.11,ENSG00000104671,DCTN6
Gm572,ENSMUSG00000070577.5,ENSG00000175262,C1orf127
Kctd18,ENSMUSG00000054770.16,ENSG00000155729,KCTD18
Frmd4b,ENSMUSG00000030064.16,ENSG00000114541,FRMD4B
Tcta,ENSMUSG00000039461.12,ENSG00000145022,TCTA
Pde2a,ENSMUSG00000110195.1,ENSG00000186642,PDE2A
Gbx2,ENSMUSG00000034486.8,ENSG00000168505,GBX2
Atp2b1,ENSMUSG00000019943.10,ENSG00000070961,ATP2B1
Hoxc4,ENSMUSG00000075394.4,ENSG00000198353,HOXC4
Cald1,ENSMUSG00000029761.16,ENSG00000122786,CALD1
Glrb,ENSMUSG00000028020.16,ENSG00000109738,GLRB
Gnas,ENSMUSG00000027523.20,ENSG00000087460,GNAS
Cdkn1c,ENSMUSG00000037664.13,ENSG00000129757,CDKN1C
Cdh4,ENSMUSG00000000305.12,ENSG00000179242,CDH4
Sgo2a,ENSMUSG00000026039.9,ENSG00000163535,SGO2
Il4ra,ENSMUSG00000030748.9,ENSG00000077238,IL4R
Hcn4,ENSMUSG00000032338.9,ENSG00000138622,HCN4
Ndp,ENSMUSG00000040138.7,ENSG00000124479,NDP
Ddx10,ENSMUSG00000053289.8,ENSG00000178105,DDX10
Fam192a,ENSMUSG00000031774.8,ENSG00000172775,PSME3IP1
Zfp41,ENSMUSG00000047003.15,ENSG00000181638,ZFP41
Zfp41,ENSMUSG00000047003.15,ENSG00000264668,AC138696.1
Gdap1l1,ENSMUSG00000017943.15,ENSG00000124194,GDAP1L1
Lct,ENSMUSG00000026354.8,ENSG00000115850,LCT
Grm5,ENSMUSG00000049583.15,ENSG00000168959,GRM5
Fabp5,ENSMUSG00000027533.10,ENSG00000164687,FABP5
1700102P08Rik,ENSMUSG00000032611.9,ENSG00000188315,C3orf62
Frmpd2,ENSMUSG00000108841.1,ENSG00000170324,FRMPD2
Taf4,ENSMUSG00000039117.16,ENSG00000130699,TAF4
Ap2a1,ENSMUSG00000060279.14,ENSG00000196961,AP2A1
Smad3,ENSMUSG00000032402.12,ENSG00000166949,SMAD3
Fitm1,ENSMUSG00000022215.6,ENSG00000139914,FITM1
Gpx1,ENSMUSG00000063856.7,ENSG00000233276,GPX1
Zhx2,ENSMUSG00000071757.10,ENSG00000178764,ZHX2
Ccdc36,ENSMUSG00000047220.5,ENSG00000173421,IHO1
Dcaf11,ENSMUSG00000022214.15,ENSG00000259371,AL136295.3
Dcaf11,ENSMUSG00000022214.15,ENSG00000100897,DCAF11
Lrrc38,ENSMUSG00000028584.3,ENSG00000162494,LRRC38
Gga1,ENSMUSG00000033128.9,ENSG00000100083,GGA1
Syt14,ENSMUSG00000016200.14,ENSG00000143469,SYT14
Usp4,ENSMUSG00000032612.14,ENSG00000114316,USP4
Rps6,ENSMUSG00000028495.14,ENSG00000137154,RPS6
Ano4,ENSMUSG00000035189.17,ENSG00000151572,ANO4
Kcnk16,ENSMUSG00000023387.8,ENSG00000095981,KCNK16
Jam2,ENSMUSG00000053062.16,ENSG00000154721,JAM2
Evx2,ENSMUSG00000001815.15,ENSG00000174279,EVX2
Fbf1,ENSMUSG00000020776.18,ENSG00000188878,FBF1
Lcp1,ENSMUSG00000021998.16,ENSG00000136167,LCP1
Umps,ENSMUSG00000022814.6,ENSG00000114491,UMPS
Aldoart1,ENSMUSG00000059343.4,ENSG00000149925,ALDOA
Aldoart1,ENSMUSG00000059343.4,ENSG00000285043,AC093512.2
Cdhr2,ENSMUSG00000034918.8,ENSG00000074276,CDHR2
Rbm26,ENSMUSG00000022119.15,ENSG00000139746,RBM26
Pramel1,ENSMUSG00000041805.3,ENSG00000116721,PRAMEF1
Pramel1,ENSMUSG00000041805.3,ENSG00000204479,PRAMEF17
Pramel1,ENSMUSG00000041805.3,ENSG00000270601,PRAMEF5
Pramel1,ENSMUSG00000041805.3,ENSG00000280267,PRAMEF26
Pramel1,ENSMUSG00000041805.3,ENSG00000116726,PRAMEF12
Pramel1,ENSMUSG00000041805.3,ENSG00000187545,PRAMEF10
Pramel1,ENSMUSG00000041805.3,ENSG00000237700,PRAMEF33
Pramel1,ENSMUSG00000041805.3,ENSG00000279804,PRAMEF18
Pramel1,ENSMUSG00000041805.3,ENSG00000204505,PRAMEF9
Pramel1,ENSMUSG00000041805.3,ENSG00000204478,PRAMEF20
Pramel1,ENSMUSG00000041805.3,ENSG00000182330,PRAMEF8
Pramel1,ENSMUSG00000041805.3,ENSG00000120952,PRAMEF2
Pramel1,ENSMUSG00000041805.3,ENSG00000239810,PRAMEF11
Pramel1,ENSMUSG00000041805.3,ENSG00000204481,PRAMEF14
Pramel1,ENSMUSG00000041805.3,ENSG00000204510,PRAMEF7
Pramel1,ENSMUSG00000041805.3,ENSG00000204501,PRAMEF15
Pramel1,ENSMUSG00000041805.3,ENSG00000243073,PRAMEF4
Pramel1,ENSMUSG00000041805.3,ENSG00000204480,PRAMEF19
Pramel1,ENSMUSG00000041805.3,ENSG00000274764,PRAMEF27
Pramel1,ENSMUSG00000041805.3,ENSG00000229571,PRAMEF25
Pramel1,ENSMUSG00000041805.3,ENSG00000232423,PRAMEF6
Pramel1,ENSMUSG00000041805.3,ENSG00000279169,PRAMEF13
Mis18bp1,ENSMUSG00000047534.17,ENSG00000129534,MIS18BP1
Mcm6,ENSMUSG00000026355.11,ENSG00000076003,MCM6
Ranbp3,ENSMUSG00000002372.9,ENSG00000031823,RANBP3
Lrrc31,ENSMUSG00000074653.10,ENSG00000114248,LRRC31
Smim9,ENSMUSG00000073094.9,ENSG00000203870,SMIM9
Acacb,ENSMUSG00000042010.16,ENSG00000076555,ACACB
Ccdc22,ENSMUSG00000031143.4,ENSG00000101997,CCDC22
Gprin1,ENSMUSG00000069227.4,ENSG00000169258,GPRIN1
Clu,ENSMUSG00000022037.15,ENSG00000120885,CLU
Pramef8,ENSMUSG00000046862.14,ENSG00000116721,PRAMEF1
Pramef8,ENSMUSG00000046862.14,ENSG00000204479,PRAMEF17
Pramef8,ENSMUSG00000046862.14,ENSG00000270601,PRAMEF5
Pramef8,ENSMUSG00000046862.14,ENSG00000280267,PRAMEF26
Pramef8,ENSMUSG00000046862.14,ENSG00000116726,PRAMEF12
Pramef8,ENSMUSG00000046862.14,ENSG00000187545,PRAMEF10
Pramef8,ENSMUSG00000046862.14,ENSG00000237700,PRAMEF33
Pramef8,ENSMUSG00000046862.14,ENSG00000279804,PRAMEF18
Pramef8,ENSMUSG00000046862.14,ENSG00000204505,PRAMEF9
Pramef8,ENSMUSG00000046862.14,ENSG00000204478,PRAMEF20
Pramef8,ENSMUSG00000046862.14,ENSG00000182330,PRAMEF8
Pramef8,ENSMUSG00000046862.14,ENSG00000120952,PRAMEF2
Pramef8,ENSMUSG00000046862.14,ENSG00000239810,PRAMEF11
Pramef8,ENSMUSG00000046862.14,ENSG00000204481,PRAMEF14
Pramef8,ENSMUSG00000046862.14,ENSG00000204510,PRAMEF7
Pramef8,ENSMUSG00000046862.14,ENSG00000204501,PRAMEF15
Pramef8,ENSMUSG00000046862.14,ENSG00000243073,PRAMEF4
Pramef8,ENSMUSG00000046862.14,ENSG00000204480,PRAMEF19
Pramef8,ENSMUSG00000046862.14,ENSG00000274764,PRAMEF27
Pramef8,ENSMUSG00000046862.14,ENSG00000229571,PRAMEF25
Pramef8,ENSMUSG00000046862.14,ENSG00000232423,PRAMEF6
Pramef8,ENSMUSG00000046862.14,ENSG00000279169,PRAMEF13
Dedd,ENSMUSG00000013973.12,ENSG00000158796,DEDD
Ephx1,ENSMUSG00000038776.13,ENSG00000143819,EPHX1
Dgkg,ENSMUSG00000022861.17,ENSG00000058866,DGKG
Usp42,ENSMUSG00000051306.7,ENSG00000106346,USP42
Acer2,ENSMUSG00000038007.14,ENSG00000177076,ACER2
Gm49909,ENSMUSG00000117098.1,ENSG00000118680,MYL12B
Foxp3,ENSMUSG00000039521.13,ENSG00000049768,FOXP3
Lasp1,ENSMUSG00000038366.15,ENSG00000002834,LASP1
Rspry1,ENSMUSG00000050079.10,ENSG00000159579,RSPRY1
Hoxd13,ENSMUSG00000001819.4,ENSG00000128714,HOXD13
Ankrd12,ENSMUSG00000034647.15,ENSG00000101745,ANKRD12
Pdgfc,ENSMUSG00000028019.9,ENSG00000145431,PDGFC
Kpna6,ENSMUSG00000003731.13,ENSG00000025800,KPNA6
Smug1,ENSMUSG00000036061.10,ENSG00000123415,SMUG1
Stat4,ENSMUSG00000062939.11,ENSG00000138378,STAT4
2700049A03Rik,ENSMUSG00000034601.17,ENSG00000100578,KIAA0586
Ndufa11,ENSMUSG00000002379.7,ENSG00000267740,AC024592.3
Ndufa11,ENSMUSG00000002379.7,ENSG00000174886,NDUFA11
Efhc2,ENSMUSG00000025038.7,ENSG00000183690,EFHC2
Galnt4,ENSMUSG00000090035.3,ENSG00000259075,POC1B-GALNT4
Galnt4,ENSMUSG00000090035.3,ENSG00000257594,GALNT4
Casp1,ENSMUSG00000025888.6,ENSG00000255221,CARD17
Casp1,ENSMUSG00000025888.6,ENSG00000204397,CARD16
Casp1,ENSMUSG00000025888.6,ENSG00000137752,CASP1
Rsrc1,ENSMUSG00000034544.17,ENSG00000174891,RSRC1
Poc1b,ENSMUSG00000019952.15,ENSG00000139323,POC1B
Vmac,ENSMUSG00000054723.6,ENSG00000187650,VMAC
Cbx5,ENSMUSG00000009575.14,ENSG00000094916,CBX5
Nit1,ENSMUSG00000013997.10,ENSG00000158793,NIT1
Gle1,ENSMUSG00000019715.14,ENSG00000119392,GLE1
Ehd4,ENSMUSG00000027293.13,ENSG00000103966,EHD4
Myom1,ENSMUSG00000024049.15,ENSG00000101605,MYOM1
Cby1,ENSMUSG00000022428.8,ENSG00000100211,CBY1
Smyd3,ENSMUSG00000055067.15,ENSG00000185420,SMYD3
Olfr1228,ENSMUSG00000099486.3,ENSG00000181939,OR4C15
Il22ra1,ENSMUSG00000037157.8,ENSG00000142677,IL22RA1
Exph5,ENSMUSG00000034584.3,ENSG00000110723,EXPH5
Hsf4,ENSMUSG00000033249.10,ENSG00000102878,HSF4
Axdnd1,ENSMUSG00000026601.14,ENSG00000162779,AXDND1
Olfr1229,ENSMUSG00000075095.5,ENSG00000181939,OR4C15
Shox2,ENSMUSG00000027833.16,ENSG00000168779,SHOX2
Gm11487,ENSMUSG00000066137.12,ENSG00000285891,AC113348.1
Fuz,ENSMUSG00000011658.16,ENSG00000010361,FUZ
Nrtn,ENSMUSG00000039481.5,ENSG00000171119,NRTN
Gnai3,ENSMUSG00000000001.4,ENSG00000065135,GNAI3
Oog4,ENSMUSG00000047799.15,ENSG00000116721,PRAMEF1
Oog4,ENSMUSG00000047799.15,ENSG00000204479,PRAMEF17
Oog4,ENSMUSG00000047799.15,ENSG00000270601,PRAMEF5
Oog4,ENSMUSG00000047799.15,ENSG00000280267,PRAMEF26
Oog4,ENSMUSG00000047799.15,ENSG00000116726,PRAMEF12
Oog4,ENSMUSG00000047799.15,ENSG00000187545,PRAMEF10
Oog4,ENSMUSG00000047799.15,ENSG00000237700,PRAMEF33
Oog4,ENSMUSG00000047799.15,ENSG00000279804,PRAMEF18
Oog4,ENSMUSG00000047799.15,ENSG00000204505,PRAMEF9
Oog4,ENSMUSG00000047799.15,ENSG00000204478,PRAMEF20
Oog4,ENSMUSG00000047799.15,ENSG00000182330,PRAMEF8
Oog4,ENSMUSG00000047799.15,ENSG00000120952,PRAMEF2
Oog4,ENSMUSG00000047799.15,ENSG00000239810,PRAMEF11
Oog4,ENSMUSG00000047799.15,ENSG00000204481,PRAMEF14
Oog4,ENSMUSG00000047799.15,ENSG00000204510,PRAMEF7
Oog4,ENSMUSG00000047799.15,ENSG00000204501,PRAMEF15
Oog4,ENSMUSG00000047799.15,ENSG00000243073,PRAMEF4
Oog4,ENSMUSG00000047799.15,ENSG00000204480,PRAMEF19
Oog4,ENSMUSG00000047799.15,ENSG00000274764,PRAMEF27
Oog4,ENSMUSG00000047799.15,ENSG00000229571,PRAMEF25
Oog4,ENSMUSG00000047799.15,ENSG00000232423,PRAMEF6
Oog4,ENSMUSG00000047799.15,ENSG00000279169,PRAMEF13
Zfp821,ENSMUSG00000031728.10,ENSG00000102984,ZNF821
Gm10131,ENSMUSG00000063412.4,ENSG00000100632,ERH
Ube2g1,ENSMUSG00000020794.13,ENSG00000132388,UBE2G1
Mapk14,ENSMUSG00000053436.15,ENSG00000112062,MAPK14
Oit3,ENSMUSG00000009654.4,ENSG00000138315,OIT3
Hnrnpa1,ENSMUSG00000046434.16,ENSG00000135486,HNRNPA1
Fundc2,ENSMUSG00000031198.4,ENSG00000165775,FUNDC2
Asb18,ENSMUSG00000067081.13,ENSG00000182177,ASB18
Slc7a3,ENSMUSG00000031297.14,ENSG00000165349,SLC7A3
Hoxd12,ENSMUSG00000001823.5,ENSG00000170178,HOXD12
F8,ENSMUSG00000031196.13,ENSG00000185010,F8
Nphs2,ENSMUSG00000026602.9,ENSG00000116218,NPHS2
Asl,ENSMUSG00000025533.15,ENSG00000126522,ASL
Asl,ENSMUSG00000025533.15,ENSG00000249319,AC068533.4
Plcb2,ENSMUSG00000040061.17,ENSG00000137841,PLCB2
Hoxd11,ENSMUSG00000042499.13,ENSG00000128713,HOXD11
Ppp1r3f,ENSMUSG00000039556.16,ENSG00000049769,PPP1R3F
Rrp36,ENSMUSG00000023971.9,ENSG00000124541,RRP36
Kmt2a,ENSMUSG00000002028.13,ENSG00000285827,AP001267.5
Kmt2a,ENSMUSG00000002028.13,ENSG00000118058,KMT2A
Epha5,ENSMUSG00000029245.16,ENSG00000145242,EPHA5
Hoxd10,ENSMUSG00000050368.4,ENSG00000128710,HOXD10
Mboat4,ENSMUSG00000071113.4,ENSG00000177669,MBOAT4
Kmo,ENSMUSG00000039783.15,ENSG00000117009,KMO
Gm2000,ENSMUSG00000078193.2,ENSG00000136942,RPL35
Slc38a11,ENSMUSG00000061171.15,ENSG00000169507,SLC38A11
Atxn1l,ENSMUSG00000069895.4,ENSG00000224470,ATXN1L
Gpr61,ENSMUSG00000046793.8,ENSG00000156097,GPR61
Cbr1,ENSMUSG00000051483.9,ENSG00000159228,CBR1
Col6a2,ENSMUSG00000020241.13,ENSG00000142173,COL6A2
Kcns2,ENSMUSG00000050963.7,ENSG00000156486,KCNS2
Acad8,ENSMUSG00000031969.16,ENSG00000151498,ACAD8
Amigo1,ENSMUSG00000050947.9,ENSG00000181754,AMIGO1
Igfn1,ENSMUSG00000051985.12,ENSG00000163395,IGFN1
Olfr1230,ENSMUSG00000075094.1,ENSG00000181903,OR4C6
Eif5,ENSMUSG00000021282.17,ENSG00000100664,EIF5
Myom3,ENSMUSG00000037139.15,ENSG00000142661,MYOM3
Lrriq3,ENSMUSG00000028182.14,ENSG00000162620,LRRIQ3
Miga2,ENSMUSG00000026858.18,ENSG00000148343,MIGA2
Stk19,ENSMUSG00000061207.11,ENSG00000204344,STK19
Taf7l2,ENSMUSG00000074734.3,ENSG00000102387,TAF7L
Ptprr,ENSMUSG00000020151.16,ENSG00000153233,PTPRR
Fh1,ENSMUSG00000026526.14,ENSG00000091483,FH
Tomm22,ENSMUSG00000022427.4,ENSG00000100216,TOMM22
Golga5,ENSMUSG00000021192.16,ENSG00000066455,GOLGA5
Acsl6,ENSMUSG00000020333.17,ENSG00000281938,AC034228.3
Acsl6,ENSMUSG00000020333.17,ENSG00000164398,ACSL6
Mea1,ENSMUSG00000002768.8,ENSG00000124733,MEA1
Olfr1232,ENSMUSG00000075092.2,ENSG00000181939,OR4C15
Gm9833,ENSMUSG00000049230.8,ENSG00000104177,MYEF2
Gm5678,ENSMUSG00000082815.2,ENSG00000159228,CBR1
Mark1,ENSMUSG00000026620.11,ENSG00000116141,MARK1
Utp25,ENSMUSG00000016181.9,ENSG00000117597,UTP25
Fabp9,ENSMUSG00000027528.12,ENSG00000205186,FABP9
Tbx2,ENSMUSG00000000093.6,ENSG00000121068,TBX2
Fundc1,ENSMUSG00000025040.13,ENSG00000069509,FUNDC1
Pmp2,ENSMUSG00000052468.7,ENSG00000147588,PMP2
Klhdc3,ENSMUSG00000063576.12,ENSG00000124702,KLHDC3
Dync2li1,ENSMUSG00000024253.9,ENSG00000138036,DYNC2LI1
Dus3l,ENSMUSG00000007603.9,ENSG00000267157,AC011499.1
Dus3l,ENSMUSG00000007603.9,ENSG00000141994,DUS3L
Golm1,ENSMUSG00000021556.12,ENSG00000135052,GOLM1
Col5a3,ENSMUSG00000004098.7,ENSG00000080573,COL5A3
Gm37389,ENSMUSG00000103124.1,ENSG00000205186,FABP9
Gm9112,ENSMUSG00000079479.2,ENSG00000268994,FAM236B
Gm9112,ENSMUSG00000079479.2,ENSG00000225396,FAM236D
Gm9112,ENSMUSG00000079479.2,ENSG00000275520,FAM236A
Gm9112,ENSMUSG00000079479.2,ENSG00000283594,FAM236C
Shroom3,ENSMUSG00000029381.16,ENSG00000138771,SHROOM3
Camkk2,ENSMUSG00000029471.13,ENSG00000110931,CAMKK2
Sh3gl1,ENSMUSG00000003200.10,ENSG00000141985,SH3GL1
Pdxp,ENSMUSG00000116165.1,ENSG00000241360,PDXP
Gm49510,ENSMUSG00000116069.1,ENSG00000100092,SH3BP1
Gm49510,ENSMUSG00000116069.1,ENSG00000285304,Z83844.2
Il1rapl1,ENSMUSG00000052372.10,ENSG00000169306,IL1RAPL1
Sh3bp1,ENSMUSG00000022436.16,ENSG00000100092,SH3BP1
Sh3bp1,ENSMUSG00000022436.16,ENSG00000285304,Z83844.2
Tfb2m,ENSMUSG00000026492.11,ENSG00000162851,TFB2M
Ppp2r5d,ENSMUSG00000059409.9,ENSG00000112640,PPP2R5D
Clasrp,ENSMUSG00000061028.7,ENSG00000104859,CLASRP
Cbr3,ENSMUSG00000022947.8,ENSG00000159231,CBR3
Tspan5,ENSMUSG00000028152.10,ENSG00000168785,TSPAN5
Naa35,ENSMUSG00000021555.15,ENSG00000135040,NAA35
Abcg8,ENSMUSG00000024254.15,ENSG00000143921,ABCG8
Smad6,ENSMUSG00000036867.7,ENSG00000137834,SMAD6
Mpnd,ENSMUSG00000003199.16,ENSG00000008382,MPND
Asb7,ENSMUSG00000030509.17,ENSG00000183475,ASB7
Fitm2,ENSMUSG00000048486.6,ENSG00000197296,FITM2
Prr22,ENSMUSG00000090273.3,ENSG00000212123,PRR22
Lsm14b,ENSMUSG00000039108.14,ENSG00000149657,LSM14B
Ergic2,ENSMUSG00000030304.11,ENSG00000087502,ERGIC2
Cyb561d1,ENSMUSG00000048796.7,ENSG00000174151,CYB561D1
Samd12,ENSMUSG00000058656.13,ENSG00000177570,SAMD12
Ndfip2,ENSMUSG00000053253.16,ENSG00000102471,NDFIP2
Skiv2l,ENSMUSG00000040356.16,ENSG00000204351,SKIV2L
R3hdml,ENSMUSG00000078949.2,ENSG00000101074,R3HDML
Fmr1nb,ENSMUSG00000062170.12,ENSG00000176988,FMR1NB
Alox5,ENSMUSG00000025701.12,ENSG00000012779,ALOX5
Hnf4a,ENSMUSG00000017950.16,ENSG00000101076,HNF4A
Dap3,ENSMUSG00000068921.14,ENSG00000132676,DAP3
Abcg5,ENSMUSG00000040505.13,ENSG00000138075,ABCG5
Vit,ENSMUSG00000024076.10,ENSG00000205221,VIT
Cyp2d12,ENSMUSG00000096852.2,ENSG00000205702,CYP2D7
Cyp2d12,ENSMUSG00000096852.2,ENSG00000100197,CYP2D6
Cpb2,ENSMUSG00000021999.9,ENSG00000080618,CPB2
Gbe1,ENSMUSG00000022707.16,ENSG00000114480,GBE1
Tm9sf1,ENSMUSG00000002320.15,ENSG00000100926,TM9SF1
Tm9sf1,ENSMUSG00000002320.15,ENSG00000254692,AL136295.1
Tm9sf1,ENSMUSG00000002320.15,ENSG00000259522,AL136295.4
Mtcp1,ENSMUSG00000031200.16,ENSG00000214827,MTCP1
Cmc4,ENSMUSG00000090110.8,ENSG00000182712,CMC4
Glis1,ENSMUSG00000034762.9,ENSG00000174332,GLIS1
Spag4,ENSMUSG00000038180.11,ENSG00000061656,SPAG4
Neo1,ENSMUSG00000032340.8,ENSG00000067141,NEO1
Samd7,ENSMUSG00000051860.13,ENSG00000187033,SAMD7
Nxpe4,ENSMUSG00000044229.9,ENSG00000137634,NXPE4
Ralgapb,ENSMUSG00000027652.15,ENSG00000170471,RALGAPB
Nxpe2,ENSMUSG00000032028.15,ENSG00000204361,NXPE2
Gm49378,ENSMUSG00000115232.1,ENSG00000100926,TM9SF1
Gm49378,ENSMUSG00000115232.1,ENSG00000254692,AL136295.1
Gm49378,ENSMUSG00000115232.1,ENSG00000259522,AL136295.4
Sec62,ENSMUSG00000027706.8,ENSG00000008952,SEC62
Ipo4,ENSMUSG00000002319.16,ENSG00000196497,IPO4
Josd1,ENSMUSG00000022426.6,ENSG00000100221,JOSD1
Ift43,ENSMUSG00000007867.9,ENSG00000119650,IFT43
Arap1,ENSMUSG00000032812.18,ENSG00000186635,ARAP1
Rft1,ENSMUSG00000052395.17,ENSG00000272305,AC096887.1
Rft1,ENSMUSG00000052395.17,ENSG00000163933,RFT1
Dxo,ENSMUSG00000040482.16,ENSG00000204348,DXO
Lctl,ENSMUSG00000032401.15,ENSG00000188501,LCTL
Adam7,ENSMUSG00000022056.9,ENSG00000069206,ADAM7
BC048562,ENSMUSG00000050641.7,ENSG00000236980,C3orf84
Shisa2,ENSMUSG00000044461.6,ENSG00000180730,SHISA2
Itga3,ENSMUSG00000001507.16,ENSG00000005884,ITGA3
Zwilch,ENSMUSG00000032400.18,ENSG00000174442,ZWILCH
Klhdc8b,ENSMUSG00000032609.12,ENSG00000185909,KLHDC8B
Traf3ip3,ENSMUSG00000037318.10,ENSG00000009790,TRAF3IP3
Zfp605,ENSMUSG00000023284.15,ENSG00000196458,ZNF605
Mfsd14a,ENSMUSG00000089911.4,ENSG00000156875,MFSD14A
Jak3,ENSMUSG00000031805.17,ENSG00000105639,JAK3
Gfra4,ENSMUSG00000027316.15,ENSG00000125861,GFRA4
Dcaf8l,ENSMUSG00000035395.11,ENSG00000189186,DCAF8L2
Dcaf8l,ENSMUSG00000035395.11,ENSG00000226372,DCAF8L1
Dlx2,ENSMUSG00000023391.8,ENSG00000115844,DLX2
Terf1,ENSMUSG00000025925.14,ENSG00000147601,TERF1
Slc35a3,ENSMUSG00000027957.13,ENSG00000117620,SLC35A3
Ccdc71,ENSMUSG00000049305.6,ENSG00000177352,CCDC71
Far2,ENSMUSG00000030303.15,ENSG00000064763,FAR2
Tinag,ENSMUSG00000032357.12,ENSG00000137251,TINAG
Ttpal,ENSMUSG00000017679.16,ENSG00000124120,TTPAL
Hoxd9,ENSMUSG00000043342.9,ENSG00000128709,HOXD9
Nfe2,ENSMUSG00000058794.12,ENSG00000123405,NFE2
Sncb,ENSMUSG00000034891.13,ENSG00000074317,SNCB
9130409I23Rik,ENSMUSG00000038768.8,ENSG00000143753,DEGS1
Odf2l,ENSMUSG00000028256.16,ENSG00000122417,ODF2L
Ctsc,ENSMUSG00000030560.17,ENSG00000109861,CTSC
Ash1l,ENSMUSG00000028053.13,ENSG00000116539,ASH1L
Msh3,ENSMUSG00000014850.15,ENSG00000113318,MSH3
Gm14698,ENSMUSG00000071748.2,ENSG00000198252,STYX
Sbspon,ENSMUSG00000032719.4,ENSG00000164764,SBSPON
Prickle1,ENSMUSG00000036158.12,ENSG00000139174,PRICKLE1
Parp4,ENSMUSG00000054509.7,ENSG00000102699,PARP4
Pcmtd2,ENSMUSG00000027589.14,ENSG00000203880,PCMTD2
Etnppl,ENSMUSG00000019232.14,ENSG00000164089,ETNPPL
Mamstr,ENSMUSG00000042918.17,ENSG00000176909,MAMSTR
Irf6,ENSMUSG00000026638.15,ENSG00000117595,IRF6
Olfr1234,ENSMUSG00000075090.4,ENSG00000181958,OR4A15
Psma7,ENSMUSG00000027566.15,ENSG00000101182,PSMA7
Gmnc,ENSMUSG00000068428.7,ENSG00000205835,GMNC
Vwa1,ENSMUSG00000042116.3,ENSG00000179403,VWA1
Crygs,ENSMUSG00000033501.5,ENSG00000213139,CRYGS
Cbl,ENSMUSG00000034342.9,ENSG00000110395,CBL
Nrg2,ENSMUSG00000060275.14,ENSG00000158458,NRG2
Slc22a18,ENSMUSG00000000154.16,ENSG00000110628,SLC22A18
A130010J15Rik,ENSMUSG00000079144.7,ENSG00000162757,C1orf74
Rhog,ENSMUSG00000073982.11,ENSG00000177105,RHOG
Ndufv2,ENSMUSG00000024099.15,ENSG00000178127,NDUFV2
Copz1,ENSMUSG00000060992.9,ENSG00000111481,COPZ1
Tmem39b,ENSMUSG00000053730.15,ENSG00000121775,TMEM39B
Inhbb,ENSMUSG00000037035.5,ENSG00000163083,INHBB
Olfr1238,ENSMUSG00000111517.1,ENSG00000225997,OR4A8
Olfr1238,ENSMUSG00000111517.1,ENSG00000221840,OR4A5
Irak1,ENSMUSG00000031392.18,ENSG00000184216,IRAK1
Gm20379,ENSMUSG00000100622.1,ENSG00000198830,HMGN2
Dhfr,ENSMUSG00000021707.5,ENSG00000178700,DHFR2
Dhfr,ENSMUSG00000021707.5,ENSG00000228716,DHFR
Fabp4,ENSMUSG00000062515.3,ENSG00000170323,FABP4
Eif3b,ENSMUSG00000056076.13,ENSG00000106263,EIF3B
Tbx4,ENSMUSG00000000094.12,ENSG00000121075,TBX4
Snx12,ENSMUSG00000046032.16,ENSG00000147164,SNX12
Slc5a9,ENSMUSG00000028544.14,ENSG00000117834,SLC5A9
Mlip,ENSMUSG00000032355.16,ENSG00000146147,MLIP
Begain,ENSMUSG00000040867.13,ENSG00000183092,BEGAIN
Foxn4,ENSMUSG00000042002.11,ENSG00000139445,FOXN4
Ostn,ENSMUSG00000052276.8,ENSG00000188729,OSTN
Fam110c,ENSMUSG00000036136.9,ENSG00000184731,FAM110C
Lamb2,ENSMUSG00000052911.9,ENSG00000172037,LAMB2
Negr1,ENSMUSG00000040037.13,ENSG00000172260,NEGR1
Ptprn,ENSMUSG00000026204.15,ENSG00000054356,PTPRN
Capn6,ENSMUSG00000067276.5,ENSG00000077274,CAPN6
4932429P05Rik,ENSMUSG00000079513.1,ENSG00000224960,PPP4R3C
Adig,ENSMUSG00000044405.4,ENSG00000182035,ADIG
Obscn,ENSMUSG00000061462.18,ENSG00000154358,OBSCN
Tmem88b,ENSMUSG00000073680.2,ENSG00000205116,TMEM88B
